date,000300,000688,000922,000015,399989,931071,000069,930781,399975,399967,931066,930598,000819,950125,931637,399986,930633,931946
2025-06-11,0.75,-0.2,0.31,0.25,0.1,0.19,0.2,0.52,1.9,0.39,0.49,3.2,2.02,0.26,0.92,0.31,0.57,1.99
2025-06-12,-0.06,-0.3,0.0,-0.1,0.73,0.17,0.17,1.63,-0.18,-0.63,-0.57,-0.05,1.12,-1.2,-0.94,0.31,-0.74,-1.12
2025-06-13,-0.72,-0.51,-1.01,-0.8,-1.45,-1.35,-1.75,-3.08,-1.03,1.16,1.89,-1.08,-0.17,0.73,-1.51,-0.91,-2.13,-0.82
2025-06-16,0.25,-0.21,0.23,0.29,-0.67,1.12,-0.36,3.77,1.34,0.08,-0.17,1.32,-0.42,-0.11,2.35,1.32,-0.24,-0.95
2025-06-17,-0.09,-0.8,-0.05,0.06,-0.74,-0.62,-0.83,-1.66,0.35,-0.02,-0.23,-0.74,0.02,-0.75,-0.23,-0.19,0.15,-0.1
2025-06-18,0.12,0.53,-0.11,0.02,-1.07,1.14,-0.1,-1.68,-1.22,0.59,0.66,-1.8,-0.31,1.78,-1.2,0.89,-0.69,-0.96
2025-06-19,-0.82,-0.54,-0.65,-0.44,-1.33,-0.3,-0.77,-0.77,-1.84,-1.55,-1.72,-1.92,-1.61,0.83,-2.79,-0.14,-0.53,-0.86
2025-06-20,0.09,-0.53,0.17,0.32,-0.04,-1.2,0.34,-2.02,-0.29,-1.13,-1.39,-0.31,-0.67,0.49,0.87,0.67,-0.67,-0.08
2025-06-23,0.29,0.38,0.25,0.25,0.46,-0.31,-0.5,0.91,1.15,1.66,1.39,1.06,0.81,2.09,0.64,1.21,0.02,-0.14
2025-06-24,1.2,1.79,0.32,0.15,1.06,2.1,1.19,1.79,2.58,0.48,0.24,1.76,0.58,0.97,2.3,0.41,1.44,0.89
2025-06-25,1.44,1.73,0.34,0.11,1.31,2.19,0.85,0.45,5.46,3.04,3.33,0.62,0.78,0.71,0.88,1.03,0.99,0.32
2025-06-26,-0.35,-0.57,0.03,0.07,-1.08,0.35,-0.89,0.12,-1.7,0.19,0.35,-1.18,0.23,-1.23,-0.44,1.0,0.75,-0.49
2025-06-27,-0.61,-0.18,-0.52,-1.09,0.45,0.83,-0.31,-0.47,-0.12,0.74,0.99,1.03,1.87,0.73,0.86,-2.94,-0.5,-0.14
2025-06-30,0.37,1.54,-0.11,-0.08,1.56,1.77,0.63,1.6,-0.46,4.1,4.62,2.09,-0.02,1.82,-0.53,-0.33,-0.09,0.3
